country;central_bank;wikipedia_bank_url;source_type;source_label;wiki_name;cargo;name_source;start_year;end_year;row_data;resolved_row_data
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;Daur Barganjia;Chair;Name;1996;1998;{'1': 'Daur Barganjia', '2': '1996', '4': '1998', '6': 'Vladislav Ardzinba'};{'Name': 'Daur Barganjia', 'From': '1996', 'Until': '1998', 'President': 'Vladislav Ardzinba'}
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;Boris Zhirov;Chair;Name;;2004;{'1': 'Boris Zhirov', '4': '10 November 2004', '6': 'Vladislav Ardzinba'};{'Name': 'Boris Zhirov', 'Until': '10 November 2004', 'President': 'Vladislav Ardzinba'}
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;Emma Tania;Chair;Name;2004;2005;{'1': 'Emma Tania', '2': '10 November 2004', '4': '10 June 2005', '6': 'Vladislav Ardzinba', '7': 'Acting'};{'Name': 'Emma Tania', 'From': '10 November 2004', 'Until': '10 June 2005', 'President': 'Vladislav Ardzinba', 'Comments': 'Acting'}
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;Illarion Argun;Chair;Name;2005;2011;{'1': 'Illarion Argun', '2': '10 June 2005', '4': '29 May 2011', '6': 'Sergei Bagapsh'};{'Name': 'Illarion Argun', 'From': '10 June 2005', 'Until': '29 May 2011', 'President': 'Sergei Bagapsh'}
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;Illarion Argun;Chair;Name;2011;2014;{'1': 'Illarion Argun', '2': '29 May 2011', '4': '1 June 2014', '6': 'Alexander Ankvab'};{'Name': 'Illarion Argun', 'From': '29 May 2011', 'Until': '1 June 2014', 'President': 'Alexander Ankvab'}
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;Illarion Argun;Chair;Name;2014;2014;{'1': 'Illarion Argun', '2': '1 June 2014', '4': '1 August 2014', '6': 'Valeri Bganba', '7': 'Died in office'};{'Name': 'Illarion Argun', 'From': '1 June 2014', 'Until': '1 August 2014', 'President': 'Valeri Bganba', 'Comments': 'Died in office'}
Abkhazia *;National Bank of the Republic of Abkhazia;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Abkhazia;wikitable;# Name From Until President Comments | Chairman of the National Bank;Beslan Baratelia;Chair;Name;2014;Incumbent;{'1': 'Beslan Baratelia', '2': '29 December 2014', '4': 'present', '6': 'Raul Khajimba'};{'Name': 'Beslan Baratelia', 'From': '29 December 2014', 'Until': 'present', 'President': 'Raul Khajimba'}
Afghanistan;Da Afghanistan Bank;https://en.wikipedia.org/wiki/Da_Afghanistan_Bank;infobox;Governor;Noor Ahmad Agha;Governor;Governor;;;{'Governor': 'Noor Ahmad Agha'};{'Governor': 'Noor Ahmad Agha'}
Albania;Bank of Albania;https://en.wikipedia.org/wiki/Bank_of_Albania;infobox;Governor;Gent Sejko;Governor;Governor;;;{'Governor': 'Gent Sejko'};{'Governor': 'Gent Sejko'}
Algeria;Bank of Algeria;https://en.wikipedia.org/wiki/Bank_of_Algeria;infobox;Governor;Mouatassem Boudiaf;Governor;Governor;;;{'Governor': 'Mouatassem Boudiaf'};{'Governor': 'Mouatassem Boudiaf'}
